Control Mode;EV | PV Penetration;count;mean;std;min;25%;50%;75%;max
no_control;0 | 100;1000.00;853.80;232.45;395.82;687.92;844.82;993.80;1733.67
no_control;0 | 20;1000.00;438.35;8.91;403.31;433.36;438.98;444.70;470.30
no_control;0 | 40;1000.00;459.55;23.47;420.70;443.35;454.41;470.23;561.50
no_control;0 | 60;1000.00;532.92;67.07;418.48;486.17;520.54;569.53;843.30
no_control;0 | 80;1000.00;668.76;143.55;406.57;565.31;651.09;760.99;1213.41
no_control;100 | 0;1000.00;1936.06;126.94;1550.40;1848.33;1926.60;2027.27;2392.62
no_control;100 | 100;984.00;1886.67;142.93;1479.33;1793.55;1879.05;1975.43;2575.66
no_control;100 | 20;1000.00;1828.30;130.11;1501.57;1733.94;1825.86;1912.50;2224.41
no_control;100 | 40;1000.00;1757.58;128.60;1378.68;1661.40;1756.57;1843.19;2139.98
no_control;100 | 60;1000.00;1739.35;122.62;1406.74;1656.37;1731.78;1817.92;2136.17
no_control;100 | 80;1000.00;1788.76;124.84;1498.20;1701.34;1785.08;1861.19;2953.74
no_control;20 | 0;1000.00;703.74;51.73;564.39;667.30;699.92;736.61;917.22
no_control;20 | 100;623.00;959.55;282.41;71.58;825.25;976.91;1119.22;1842.13
no_control;20 | 20;1000.00;655.29;54.66;510.61;613.41;649.93;688.44;858.06
no_control;20 | 40;1000.00;661.65;54.89;540.52;622.65;657.62;695.53;880.58
no_control;20 | 60;976.00;715.31;69.40;552.08;666.21;708.85;757.52;1022.80
no_control;20 | 80;737.00;794.07;195.64;75.43;731.19;814.97;895.75;1350.88
no_control;40 | 0;710.00;954.98;201.81;116.09;931.87;984.84;1044.27;1934.16
no_control;40 | 100;733.00;1141.24;332.51;89.48;1038.51;1165.28;1314.92;3230.23
no_control;40 | 20;757.00;884.20;203.65;101.23;862.84;920.37;981.23;1269.98
no_control;40 | 40;976.00;907.27;79.83;227.57;852.29;905.41;957.79;1208.97
no_control;40 | 60;745.00;893.38;200.91;101.17;872.86;928.22;987.00;1266.04
no_control;40 | 80;939.00;1040.63;117.02;768.64;959.29;1028.39;1116.13;1544.70
no_control;60 | 0;1000.00;1276.80;98.86;976.31;1211.69;1266.95;1345.75;1591.39
no_control;60 | 100;806.00;1299.50;337.38;138.45;1241.20;1345.65;1472.84;1923.42
no_control;60 | 20;945.00;1191.07;101.64;907.21;1120.52;1187.34;1258.46;1551.42
no_control;60 | 40;1000.00;1152.55;94.14;902.07;1087.92;1147.44;1213.89;1491.02
no_control;60 | 60;797.00;1110.88;246.36;136.15;1088.43;1159.96;1224.98;1550.36
no_control;60 | 80;924.00;1260.15;111.32;909.88;1184.37;1257.34;1335.34;1736.14
no_control;80 | 0;1000.00;1616.00;118.26;1213.78;1536.83;1611.87;1694.65;1970.00
no_control;80 | 100;1000.00;1644.37;156.37;1197.55;1532.54;1638.82;1733.09;2241.05
no_control;80 | 20;1000.00;1518.36;118.29;1210.13;1440.93;1516.67;1597.04;1954.57
no_control;80 | 40;1000.00;1459.93;116.75;1136.31;1378.59;1459.19;1533.91;1920.48
no_control;80 | 60;1000.00;1468.43;107.60;1164.23;1392.45;1464.36;1538.11;1803.91
no_control;80 | 80;1000.00;1525.65;117.75;1200.75;1442.36;1521.52;1597.86;1936.28
voltvar;0 | 100;1000.00;956.94;233.70;492.40;789.41;949.46;1097.61;1827.57
voltvar;0 | 20;1000.00;515.10;11.05;469.41;508.54;516.27;523.16;547.94
voltvar;0 | 40;1000.00;519.70;21.23;487.35;505.22;514.64;528.63;622.20
voltvar;0 | 60;1000.00;604.23;63.56;495.86;560.13;593.42;638.87;896.83
voltvar;0 | 80;1000.00;783.51;146.81;514.51;677.96;766.65;877.83;1346.43
voltvar;100 | 0;1000.00;2035.92;129.82;1638.75;1946.56;2026.46;2128.87;2503.39
voltvar;100 | 100;984.00;2041.93;145.39;1619.07;1946.66;2033.57;2132.93;2700.18
voltvar;100 | 20;1000.00;2067.94;143.72;1706.51;1963.16;2063.70;2160.86;2500.02
voltvar;100 | 40;1000.00;1960.44;140.44;1545.70;1856.11;1958.10;2054.30;2377.33
voltvar;100 | 60;1000.00;1875.71;128.76;1520.51;1788.65;1870.28;1956.99;2294.06
voltvar;100 | 80;1001.00;1990.67;127.27;1679.20;1899.42;1990.09;2070.00;2526.28
voltvar;20 | 0;1000.00;817.47;55.49;666.90;777.47;813.20;852.69;1044.15
voltvar;20 | 100;588.00;1136.30;218.77;658.05;976.85;1126.50;1262.24;1975.51
voltvar;20 | 20;1000.00;772.80;60.15;608.43;726.60;766.52;809.69;995.37
voltvar;20 | 40;1000.00;774.88;59.33;637.65;732.75;772.20;811.94;1013.44
voltvar;20 | 60;976.00;823.56;71.18;658.84;774.03;816.58;866.29;1135.54
voltvar;20 | 80;699.00;959.35;129.42;655.33;871.51;953.35;1033.68;1498.96
voltvar;40 | 0;674.00;1111.01;87.74;516.59;1052.52;1105.11;1166.07;1446.86
voltvar;40 | 100;681.00;1348.46;208.19;422.43;1205.68;1329.61;1467.91;2135.37
voltvar;40 | 20;708.00;1013.66;85.54;781.30;955.22;1008.50;1070.08;1360.54
voltvar;40 | 40;975.00;1035.47;82.89;823.78;975.64;1033.76;1088.76;1367.53
voltvar;40 | 60;699.00;1088.48;85.31;852.11;1030.04;1085.48;1140.60;1424.36
voltvar;40 | 80;939.00;1182.07;121.14;791.70;1097.79;1171.32;1259.24;1680.32
voltvar;60 | 0;1000.00;1452.51;107.23;1128.27;1381.41;1442.50;1527.54;1791.94
voltvar;60 | 100;747.00;1479.32;158.86;1109.07;1368.38;1460.67;1575.91;1984.91
voltvar;60 | 20;945.00;1371.87;118.51;210.80;1294.30;1370.06;1448.16;1768.44
voltvar;60 | 40;1000.00;1328.25;103.86;1049.13;1258.21;1322.92;1396.93;1703.06
voltvar;60 | 60;749.00;1343.20;97.21;1082.59;1272.87;1339.18;1408.22;1746.79
voltvar;60 | 80;924.00;1410.03;115.12;1045.51;1334.00;1405.99;1489.36;1867.09
voltvar;80 | 0;1000.00;1857.55;131.05;1413.84;1769.16;1852.66;1944.78;2250.70
voltvar;80 | 100;1000.00;1849.41;162.96;1374.10;1736.32;1845.25;1943.55;2473.97
voltvar;80 | 20;1000.00;1678.68;126.77;1346.33;1595.99;1675.88;1762.72;2144.16
