Control Mode;EV | PV Penetration;count;mean;std;min;25%;50%;75%;max
no_control;0 | 100;1000.00;6517.55;3593.83;0.00;3736.51;6125.68;8763.59;20211.52
no_control;0 | 20;1000.00;26.77;129.48;0.00;0.00;0.00;0.00;1903.88
no_control;0 | 40;1000.00;561.36;889.56;0.00;3.44;160.14;736.14;7995.84
no_control;0 | 60;1000.00;2532.41;1959.59;0.00;1018.17;2186.06;3467.88;12636.19
no_control;0 | 80;1000.00;4669.73;2792.01;0.00;2689.51;4266.93;6167.88;15727.41
no_control;100 | 0;1000.00;5080.47;1019.90;2710.92;4349.98;4994.40;5694.73;10082.73
no_control;100 | 100;1000.00;8442.48;2535.72;2421.68;6576.23;8212.42;9951.01;19346.33
no_control;100 | 20;1000.00;4749.76;982.79;2414.58;4016.44;4667.63;5429.22;7751.03
no_control;100 | 40;1000.00;4725.33;988.75;2270.80;4073.17;4646.07;5270.17;8343.86
no_control;100 | 60;1000.00;5474.19;1285.88;2459.70;4499.39;5327.84;6208.48;10907.87
no_control;100 | 80;1000.00;6689.63;1781.07;2537.65;5422.49;6412.07;7730.97;15362.49
no_control;20 | 0;1000.00;793.63;507.53;0.00;426.22;719.94;1065.90;3028.20
no_control;20 | 100;750.00;6840.37;3324.94;102.71;4223.38;6530.67;8946.42;20645.62
no_control;20 | 20;1000.00;764.66;544.44;0.00;370.13;668.60;1038.40;3792.87
no_control;20 | 40;1000.00;1107.49;756.56;0.00;555.63;941.54;1491.56;4605.41
no_control;20 | 60;1000.00;2695.78;1761.71;16.02;1338.10;2336.11;3607.71;11683.57
no_control;20 | 80;932.00;4801.65;2483.94;347.14;2926.38;4447.48;6275.67;16945.72
no_control;40 | 0;783.00;1649.34;705.15;196.98;1123.81;1590.36;2084.13;4341.37
no_control;40 | 100;807.00;7057.25;3203.41;511.92;4753.51;6784.43;8921.99;21799.12
no_control;40 | 20;782.00;1560.90;680.69;82.02;1058.82;1481.88;1982.97;4780.10
no_control;40 | 40;1000.00;1809.17;849.85;199.01;1209.95;1672.79;2284.56;9515.76
no_control;40 | 60;1000.00;3066.89;1539.27;464.35;1972.92;2801.87;3864.59;12154.29
no_control;40 | 80;795.00;5080.12;2250.34;524.18;3485.27;4754.95;6398.55;14845.30
no_control;60 | 0;1000.00;2863.60;844.70;525.06;2257.06;2801.53;3442.44;5663.27
no_control;60 | 100;1000.00;7184.97;2679.96;1611.44;5357.09;6860.97;8784.09;18836.56
no_control;60 | 20;1000.00;2645.97;826.42;792.70;2070.49;2552.16;3125.66;5591.54
no_control;60 | 40;1000.00;2818.47;916.04;770.99;2126.85;2743.49;3369.56;6818.76
no_control;60 | 60;1000.00;3948.64;1524.36;1169.77;2878.58;3672.39;4752.02;12951.05
no_control;60 | 80;1000.00;5427.41;2032.65;1068.82;3976.39;5123.20;6570.12;15911.69
no_control;80 | 0;1000.00;3891.17;925.88;1427.70;3217.27;3801.19;4498.71;7418.81
no_control;80 | 100;1000.00;7833.95;2535.23;2612.66;5997.97;7550.74;9430.64;22124.81
no_control;80 | 20;1000.00;3645.64;929.12;1569.24;2986.97;3569.12;4188.86;7413.82
no_control;80 | 40;1000.00;3758.01;952.86;1593.25;3070.55;3628.93;4331.56;7679.93
no_control;80 | 60;1000.00;4642.98;1354.13;1530.34;3691.98;4455.23;5424.18;11724.81
no_control;80 | 80;1000.00;5991.19;1859.16;2121.97;4749.52;5730.42;6957.52;15784.63
voltvar;0 | 100;1000.00;4808.93;2800.70;0.00;2693.41;4450.05;6446.23;14840.70
voltvar;0 | 20;1000.00;14.37;89.20;0.00;0.00;0.00;0.00;1468.10
voltvar;0 | 40;1000.00;370.19;710.62;0.00;0.00;38.68;396.37;7027.86
voltvar;0 | 60;1000.00;1770.74;1582.79;0.00;518.25;1380.60;2562.43;10306.60
voltvar;0 | 80;1000.00;3376.56;2165.77;0.00;1833.93;3032.58;4565.01;11980.31
voltvar;100 | 0;1000.00;4656.76;958.80;2379.45;4000.20;4546.27;5258.18;9384.81
voltvar;100 | 100;1000.00;6598.12;1845.85;2123.61;5265.44;6384.19;7647.87;15653.66
voltvar;100 | 20;1000.00;4339.40;924.84;2200.37;3647.33;4255.80;4966.89;7209.91
voltvar;100 | 40;1000.00;4264.21;911.93;2078.71;3636.03;4178.55;4786.20;7860.23
voltvar;100 | 60;1000.00;4703.06;1096.98;2284.44;3892.97;4586.38;5355.43;9489.52
